id,binding_model_id,create_uid,write_uid,type,binding_type,binding_view_types,name,help,create_date,write_date,view_id,res_id,limit,search_view_id,domain,context,res_model,target,view_mode,mobile_view_mode,usage,filter
553,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Attendees""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                    <strong>No Attendees Yet!</strong>\n                </p>\n                <p>\n                    From here you'll be able to monitor attendees and to track their progress.\n                </p>\n            ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,2443,,{'search_default_groupby_member_status': 1},slide.channel.partner,current,"graph,pivot,tree,kanban",kanban,,
554,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""All Courses""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                    <strong>Create a course</strong>\n                </p>\n                <p>\n                    Your eLearning platform starts here!<br>\n                    Upload content, set up rewards, manage attendees...\n                </p>\n            ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,2454,,80,,,{},slide.channel,current,"kanban,tree,form",kanban,,
555,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Courses""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                    <strong>Create a course</strong>\n                </p>\n                <p>\n                    Your eLearning platform starts here!<br>\n                    Upload content, set up rewards, manage attendees...\n                </p>\n            ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,2450,,80,,,"{""search_default_filter_published"":1}",slide.channel,current,"tree,graph,pivot,form",kanban,,
556,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Course Tags""}",,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,,,{},slide.channel.tag,current,"tree,form",kanban,,
557,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Course Groups""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Create a Course Group\n            </p>\n            <p>\n                Use Course Groups to classify and organize your Courses.\n            </p>\n        ""}",2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,,,{},slide.channel.tag.group,current,"tree,form",kanban,,
558,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Course Pages""}",,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,,,80,,,{'create_action': 'website_slides.slide_channel_action_add'},slide.channel,current,"tree,kanban,form",kanban,,
559,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""New Course""}",,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362,2516,,80,,,{},slide.channel,new,form,kanban,,
560,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Revenues""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                No Event Revenues yet!\n            </p><p>\n                Come back once tickets have been sold to overview your sales income.\n            </p>\n        ""}",2024-04-18 07:47:31.08894,2024-04-18 07:47:31.08894,,,80,,,"{
            'search_default_priced_tickets': 1,
            'search_default_event_date_start': 1,
            'pivot_measures': ['__count__', 'sale_price_untaxed', 'sale_price'],
        }",event.sale.report,current,"graph,pivot",kanban,,
561,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Event Registrations""}",,2024-04-18 07:47:31.08894,2024-04-18 07:47:31.08894,2537,,80,,,{},registration.editor,new,form,kanban,,
562,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Configure an event""}",,2024-04-18 07:47:31.08894,2024-04-18 07:47:31.08894,2538,,80,,,{'name_with_seats_availability': True},event.event.configurator,new,form,kanban,,
571,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Online Sales Analysis""}","{""en_US"": ""<p class=\""o_view_nocontent_empty_folder\"">\n                You don't have any order from the website\n            </p>\n        ""}",2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337,,,80,2558,"[('website_id', '!=', False)]",{'search_default_confirmed': 1},sale.report,current,"pivot,graph",kanban,,
572,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Sales""}","{""en_US"": ""<p class=\""o_view_nocontent_empty_folder\"">\n                You don't have any order from the website\n            </p>\n        ""}",2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337,,,80,2558,"[('website_id', '!=', False)]",{},sale.report,current,"pivot,graph",kanban,,
573,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Products""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Create a new product\n            </p><p>\n                A product can be either a physical product or a service that you sell to your customers.\n            </p>\n        ""}",2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337,,,80,2573,,"{'search_default_published': 1, 'tree_view_ref':'website_sale.product_template_view_tree_website_sale', 'kanban_view_ref':'website_sale.product_template_view_kanban_website_sale'}",product.template,current,"kanban,tree,form,activity",kanban,,
574,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""eCommerce Categories""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            Define a new category\n          </p><p>\n            Categories are used to browse your products through the\n            touchscreen interface.\n          </p>\n        ""}",2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337,,,80,,,{},product.public.category,current,"tree,form",kanban,,
575,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Orders""}","{""en_US"": ""<p class=\""o_view_nocontent_empty_folder\"">\n                There is no confirmed order from the website\n            </p>\n        ""}",2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337,,,80,2590,[],"{'show_sale': True, 'search_default_order_confirmed': 1, 'search_default_from_website': 1}",sale.order,current,"tree,form,kanban,activity",kanban,,
576,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Unpaid Orders""}","{""en_US"": ""<p class=\""o_view_nocontent_empty_folder\"">\n                There is no unpaid order from the website yet\n            </p><p>\n                Process the order once the payment is received.\n            </p>\n        ""}",2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337,,,80,2590,"[('state', '=', 'sent'), ('website_id', '!=', False)]","{'show_sale': True, 'create': False}",sale.order,current,"tree,form,kanban,activity",kanban,,
